repo,branch,commit,tag,description
/Users/bsergi/Documents/github/ReEDS/.git,main,0c0ea27500755f3e2513b93c6d97a74b95846021,2026.08.03,2026.08.03-71-g0c0ea275
#,#,#,#,#
year,process,starttime,stoptime,processtime
0,input_processing/copy_files.py,2026-08-10T11:15:08.850804,2026-08-10T11:15:36.514102,27.663298
0,input_processing/mcs_sampler.py,2026-08-10T11:15:41.800245,2026-08-10T11:15:41.806191,0.005946
0,input_processing/climateprep.py,2026-08-10T11:15:43.957792,2026-08-10T11:15:43.964023,0.006231
0,input_processing/hydcf.py,2026-08-10T11:15:46.150570,2026-08-10T11:15:46.895135,0.744565
0,input_processing/h2_storage.py,2026-08-10T11:15:49.017516,2026-08-10T11:15:49.130937,0.113421
0,input_processing/calc_financial_inputs.py,2026-08-10T11:15:51.284702,2026-08-10T11:15:55.340164,4.055462
0,input_processing/fuelcostprep.py,2026-08-10T11:15:57.410345,2026-08-10T11:15:57.975784,0.565439
0,input_processing/writecapdat.py,2026-08-10T11:16:00.197817,2026-08-10T11:16:00.955803,0.757986
0,input_processing/writesupplycurves.py,2026-08-10T11:16:03.216714,2026-08-10T11:16:06.009614,2.7929
0,input_processing/writedrshift.py,2026-08-10T11:16:08.251641,2026-08-10T11:16:08.261561,0.00992
0,input_processing/plantcostprep.py,2026-08-10T11:16:10.495548,2026-08-10T11:16:10.615445,0.119897
0,input_processing/hourly_load.py,2026-08-10T11:16:12.804385,2026-08-10T11:16:27.314747,14.510362
0,input_processing/recf.py,2026-08-10T11:16:29.513826,2026-08-10T11:20:36.674435,247.160609
0,input_processing/WriteHintage.py,2026-08-10T11:20:39.096437,2026-08-10T11:20:39.746572,0.650135
0,input_processing/transmission.py,2026-08-10T11:20:42.009153,2026-08-10T11:21:02.209088,20.199935
0,input_processing/outage_rates.py,2026-08-10T11:21:04.428787,2026-08-10T11:21:07.627393,3.198606
0,input_processing/hourly_repperiods.py,2026-08-10T11:21:11.953387,2026-08-10T11:22:54.395929,102.442542
0,input_processing/h5_to_gdx.py,2026-08-10T11:22:56.703342,2026-08-10T11:23:21.962196,25.258854
0,a_createmodel.gms,2026-08-10T11:23:22.756000,2026-08-10T11:23:38,15.244
2010,3_solve_oneyear.gms,2026-08-10T11:23:42.070000,2026-08-10T11:23:58.475000,16.405
2010,solver/barrier,2026-08-10T11:23:58.475000,2026-08-10T11:24:00.195000,1.72
2010,solver/crossover,2026-08-10T11:24:00.195000,2026-08-10T11:24:00.205000,0.01
2010,solver/remainder,2026-08-10T11:24:00.205000,2026-08-10T11:24:02,1.795
0,input_processing/check_inputs.py,2026-08-10T11:24:05.232434,2026-08-10T11:24:07.799082,2.566648
2015,3_solve_oneyear.gms,2026-08-10T11:24:12.463000,2026-08-10T11:24:13.480000,1.017
2015,solver/barrier,2026-08-10T11:24:13.480000,2026-08-10T11:24:13.650000,0.17
2015,solver/crossover,2026-08-10T11:24:13.650000,2026-08-10T11:24:13.670000,0.02
2015,solver/remainder,2026-08-10T11:24:13.670000,2026-08-10T11:24:15,1.33
2020,3_solve_oneyear.gms,2026-08-10T11:24:20.255000,2026-08-10T11:24:21.303000,1.048
2020,solver/barrier,2026-08-10T11:24:21.303000,2026-08-10T11:24:21.553000,0.25
2020,solver/crossover,2026-08-10T11:24:21.553000,2026-08-10T11:24:21.593000,0.04
2020,solver/remainder,2026-08-10T11:24:21.593000,2026-08-10T11:24:23,1.407
2023,3_solve_oneyear.gms,2026-08-10T11:24:27.210000,2026-08-10T11:24:28.280000,1.07
2023,solver/barrier,2026-08-10T11:24:28.280000,2026-08-10T11:24:28.410000,0.13
2023,solver/crossover,2026-08-10T11:24:28.410000,2026-08-10T11:24:28.430000,0.02
2023,solver/remainder,2026-08-10T11:24:28.430000,2026-08-10T11:24:30,1.5699999999999998
2023,ra/prep_data.py,2026-08-10T11:24:31.192449,2026-08-10T11:24:40.497087,9.304638
2023,ra/capacity_credit.py,2026-08-10T11:24:40.497989,2026-08-10T11:24:40.498580,0.000591
2023,ReEDS2PRAS,2026-08-10T11:24:57,2026-08-10T11:25:22,25.0
2023,PRAS,2026-08-10T11:25:22,2026-08-10T11:28:06,164.0
2023,ra/stress_periods.py,2026-08-10T11:28:06.804498,2026-08-10T11:28:08.147021,1.342523
2026,3_solve_oneyear.gms,2026-08-10T11:28:12.701000,2026-08-10T11:28:14.057000,1.3559999999999999
2026,solver/barrier,2026-08-10T11:28:14.057000,2026-08-10T11:28:23.997000,9.94
2026,solver/crossover,2026-08-10T11:28:23.997000,2026-08-10T11:28:24.097000,0.1
2026,solver/remainder,2026-08-10T11:28:24.097000,2026-08-10T11:28:26,1.903
2026,ra/prep_data.py,2026-08-10T11:28:26.649143,2026-08-10T11:28:36.442221,9.793078
2026,ra/capacity_credit.py,2026-08-10T11:28:36.442775,2026-08-10T11:28:36.443381,0.000606
2026,ReEDS2PRAS,2026-08-10T11:28:50,2026-08-10T11:29:20,30.0
2026,PRAS,2026-08-10T11:29:20,2026-08-10T11:32:33,193.0
2026,ra/stress_periods.py,2026-08-10T11:32:33.864339,2026-08-10T11:32:36.195451,2.331112
2029,3_solve_oneyear.gms,2026-08-10T11:32:41.266000,2026-08-10T11:32:43.089000,1.823
2029,solver/barrier,2026-08-10T11:32:43.089000,2026-08-10T11:33:13.009000,29.92
2029,solver/crossover,2026-08-10T11:33:13.009000,2026-08-10T11:33:13.419000,0.41
2029,solver/remainder,2026-08-10T11:33:13.419000,2026-08-10T11:33:16,2.581
