repo,branch,commit,tag,description
2029,ra/prep_data.py,2026-08-10T11:33:16.570167,2026-08-10T11:33:25.930541,9.360374
2029,ra/capacity_credit.py,2026-08-10T11:33:25.930911,2026-08-10T11:33:25.931545,0.000634
2029,ReEDS2PRAS,2026-08-10T11:33:38,2026-08-10T11:34:09,31.0
2029,PRAS,2026-08-10T11:34:09,2026-08-10T11:37:37,208.0
2029,ra/stress_periods.py,2026-08-10T11:37:38.231769,2026-08-10T11:37:40.533637,2.301868
2032,3_solve_oneyear.gms,2026-08-10T11:37:44.914000,2026-08-10T11:37:47.043000,2.129
2032,solver/barrier,2026-08-10T11:37:47.043000,2026-08-10T11:38:16.463000,29.42
2032,solver/crossover,2026-08-10T11:38:16.463000,2026-08-10T11:38:16.943000,0.48
2032,solver/remainder,2026-08-10T11:38:16.943000,2026-08-10T11:38:20,3.057
2032,ra/prep_data.py,2026-08-10T11:38:21.145835,2026-08-10T11:38:30.532954,9.387119
2032,ra/capacity_credit.py,2026-08-10T11:38:30.533272,2026-08-10T11:38:30.533915,0.000643
2032,ReEDS2PRAS,2026-08-10T11:38:43,2026-08-10T11:39:14,31.0
2032,PRAS,2026-08-10T11:39:14,2026-08-10T11:43:07,233.0
2032,ra/stress_periods.py,2026-08-10T11:43:07.401929,2026-08-10T11:43:09.679076,2.277147
0,report.gms,2026-08-10T11:43:10.029000,2026-08-10T11:43:18,7.971
0,report_dump.py,2026-08-10T11:43:20.500305,2026-08-10T11:43:25.489518,4.989213
0,retail_rate_calculations.py,2026-08-10T11:43:28.092586,2026-08-10T11:43:34.135900,6.043314
0,end,,2026-08-10T11:45:23.488118,
