display,color
smr,#D49E2E
smr-ccs,#5F522D
electrolyzer,#896F2D
h2-prod,#896F2D
can-imports,#193A71
other,#ff69b4
battery,#FF4A88
pumped-hydro,#CC0079
storage,#FF4A88
csp,#FC761A
upv,#FFC903
distpv,#FEE603
solar,#FFC903
wind,#00B6EF
wind-ons,#00B6EF
wind-ofs,#106BA7
hydro,#187F94
geothermal,#A96235
beccs,#66C238
biopower,#5B9844
lfill-gas,#88BA41
h2-cc,#708238
h2-ct,#A8C839
o-g-s,#3D3376
gas-ct,#C2A1DB
gas-cc-ccs,#9467BD
gas-cc,#5E1688
natural gas,#5E1688
coal-ccs,#666666
coal,#000000
nuclear,#820000
nuclear-smr,#D40000
