i,r,t,Value
distpv,WA_W,2023,225.619835
distpv,WA_W,2026,222.231405
distpv,WA_W,2029,240.909091
distpv,WA_W,2032,269.586777
Gas-CC,CA_LA,2010,2085.3
Gas-CC,CA_LA,2015,2908.3
Gas-CC,CA_LA,2020,4225.3
Gas-CC,CA_LA,2023,4115.3
Gas-CC,CA_LA,2026,4115.3
Gas-CC,CA_LA,2029,4115.3
Gas-CC,CA_LA,2032,4115.3
Gas-CC,CA_N,2010,6167.2
Gas-CC,CA_N,2015,7350.4
Gas-CC,CA_N,2020,7350.4
Gas-CC,CA_N,2023,7350.4
Gas-CC,CA_N,2026,7350.4
Gas-CC,CA_N,2029,7350.4
Gas-CC,CA_N,2032,7951.860712
Gas-CC,CA_S,2010,4060.8
Gas-CC,CA_S,2015,4073.3
Gas-CC,CA_S,2020,4073.3
Gas-CC,CA_S,2023,4067.3
Gas-CC,CA_S,2026,4067.3
Gas-CC,CA_S,2029,4067.3
Gas-CC,CA_S,2032,4683.715599
Gas-CC,CA_SE,2010,4462.3
Gas-CC,CA_SE,2015,4582.3
Gas-CC,CA_SE,2020,3892.3
Gas-CC,CA_SE,2023,3892.3
Gas-CC,CA_SE,2026,4219.810271
Gas-CC,CA_SE,2029,4219.810271
Gas-CC,CA_SE,2032,5991.720156
Gas-CC,OR_E,2010,2117.2
Gas-CC,OR_E,2015,2117.2
Gas-CC,OR_E,2020,2533.5
Gas-CC,OR_E,2023,2533.5
Gas-CC,OR_E,2026,2533.5
Gas-CC,OR_E,2029,2533.5
Gas-CC,OR_E,2032,2533.5
Gas-CC,OR_W,2010,861.0
Gas-CC,OR_W,2015,861.0
Gas-CC,OR_W,2020,861.0
Gas-CC,OR_W,2023,861.0
Gas-CC,OR_W,2026,861.0
Gas-CC,OR_W,2029,529.2
Gas-CC,OR_W,2032,392.2
Gas-CC,WA_E,2010,263.7
Gas-CC,WA_E,2015,263.7
Gas-CC,WA_E,2020,263.7
Gas-CC,WA_E,2023,263.7
Gas-CC,WA_E,2026,263.7
Gas-CC,WA_E,2029,263.7
Gas-CC,WA_E,2032,263.7
Gas-CC,WA_W,2010,2373.1
Gas-CC,WA_W,2015,2373.1
Gas-CC,WA_W,2020,2373.1
Gas-CC,WA_W,2023,2373.1
Gas-CC,WA_W,2026,3019.463558
Gas-CC,WA_W,2029,1480.420528
Gas-CC,WA_W,2032,1480.420528
Gas-CC-CCS_mod,WA_E,2029,266.833333
Gas-CC-CCS_mod,WA_E,2032,488.343966
Gas-CT,CA_LA,2010,913.7
Gas-CT,CA_LA,2015,2470.9
Gas-CT,CA_LA,2020,2611.9
Gas-CT,CA_LA,2023,2611.9
Gas-CT,CA_LA,2026,2611.9
Gas-CT,CA_LA,2029,2978.566667
Gas-CT,CA_LA,2032,2674.566667
Gas-CT,CA_N,2010,1618.5
Gas-CT,CA_N,2015,2798.8
Gas-CT,CA_N,2020,2798.8
Gas-CT,CA_N,2023,2920.0
Gas-CT,CA_N,2026,4870.001934
Gas-CT,CA_N,2029,4869.201934
Gas-CT,CA_N,2032,4869.201934
Gas-CT,CA_S,2010,2412.5
Gas-CT,CA_S,2015,2473.0
Gas-CT,CA_S,2020,2473.0
Gas-CT,CA_S,2023,2473.0
Gas-CT,CA_S,2026,2509.634998
Gas-CT,CA_S,2029,2921.549994
Gas-CT,CA_S,2032,2921.549994
Gas-CT,CA_SE,2010,1218.2
Gas-CT,CA_SE,2015,2177.4
Gas-CT,CA_SE,2020,3021.3
Gas-CT,CA_SE,2023,3021.3
Gas-CT,CA_SE,2026,13577.152459
Gas-CT,CA_SE,2029,13521.252459
Gas-CT,CA_SE,2032,13503.252459
Gas-CT,OR_E,2010,100.0
Gas-CT,OR_E,2015,104.8
Gas-CT,OR_E,2020,104.8
Gas-CT,OR_E,2023,104.8
Gas-CT,OR_E,2026,104.8
Gas-CT,OR_E,2029,104.8
Gas-CT,OR_E,2032,104.8
Gas-CT,OR_W,2010,33.8
Gas-CT,OR_W,2015,258.2
Gas-CT,OR_W,2020,258.2
Gas-CT,OR_W,2023,248.4
Gas-CT,OR_W,2026,248.4
Gas-CT,OR_W,2029,248.4
Gas-CT,OR_W,2032,248.4
Gas-CT,WA_E,2010,75.8
Gas-CT,WA_E,2015,75.8
Gas-CT,WA_E,2020,75.8
Gas-CT,WA_E,2023,75.8
Gas-CT,WA_E,2026,75.8
Gas-CT,WA_E,2029,75.8
Gas-CT,WA_E,2032,204.654001
Gas-CT,WA_W,2010,548.0
Gas-CT,WA_W,2015,548.0
Gas-CT,WA_W,2020,548.0
Gas-CT,WA_W,2023,548.0
Gas-CT,WA_W,2026,4131.947177
Gas-CT,WA_W,2029,4131.947177
Gas-CT,WA_W,2032,4131.947177
H2-CT,CA_LA,2029,461.333333
H2-CT,CA_LA,2032,461.333333
lfill-gas,CA_LA,2010,51.5
lfill-gas,CA_LA,2015,108.7
lfill-gas,CA_LA,2020,132.5
lfill-gas,CA_LA,2023,128.0
lfill-gas,CA_LA,2026,100.0
lfill-gas,CA_LA,2029,100.0
