i,r,t,Value
wind-ons_5,CA_SE,2023,4.0
wind-ons_5,CA_SE,2026,4.0
wind-ons_5,CA_SE,2029,4.0
wind-ons_5,CA_SE,2032,901.745634
wind-ons_5,OR_E,2015,3.0
wind-ons_5,OR_E,2020,43.0
wind-ons_5,OR_E,2023,43.0
wind-ons_5,OR_E,2026,43.0
wind-ons_5,OR_E,2029,43.0
wind-ons_5,OR_E,2032,43.0
wind-ons_5,WA_E,2010,176.9
wind-ons_5,WA_E,2015,176.9
wind-ons_5,WA_E,2020,320.9
wind-ons_5,WA_E,2023,320.9
wind-ons_5,WA_E,2026,320.9
wind-ons_5,WA_E,2029,320.9
wind-ons_5,WA_E,2032,144.0
wind-ons_5,WA_W,2032,3246.0
wind-ons_6,CA_N,2010,101.2
wind-ons_6,CA_N,2015,101.2
wind-ons_6,CA_N,2020,101.2
wind-ons_6,CA_N,2023,101.2
wind-ons_6,CA_N,2026,101.2
wind-ons_6,CA_N,2029,1097.356667
wind-ons_6,CA_N,2032,1097.356667
wind-ons_6,CA_S,2029,130.792
wind-ons_6,CA_S,2032,390.0
wind-ons_6,CA_SE,2010,50.0
wind-ons_6,CA_SE,2015,53.2
wind-ons_6,CA_SE,2020,196.2
wind-ons_6,CA_SE,2023,196.2
wind-ons_6,CA_SE,2026,196.2
wind-ons_6,CA_SE,2029,196.2
wind-ons_6,CA_SE,2032,320.0
wind-ons_6,OR_E,2010,194.4
wind-ons_6,OR_E,2015,484.4
wind-ons_6,OR_E,2020,834.4
wind-ons_6,OR_E,2023,834.4
wind-ons_6,OR_E,2026,1034.4
wind-ons_6,OR_E,2029,1034.4
wind-ons_6,OR_E,2032,984.6
wind-ons_6,WA_E,2010,430.3
wind-ons_6,WA_E,2015,823.0
wind-ons_6,WA_E,2020,823.0
wind-ons_6,WA_E,2023,823.0
wind-ons_6,WA_E,2026,823.0
wind-ons_6,WA_E,2029,1263.0
wind-ons_6,WA_E,2032,1168.0
wind-ons_6,WA_W,2010,6.0
wind-ons_6,WA_W,2015,6.0
wind-ons_6,WA_W,2020,142.8
wind-ons_6,WA_W,2023,142.8
wind-ons_6,WA_W,2026,142.8
wind-ons_6,WA_W,2029,1399.471211
wind-ons_6,WA_W,2032,3942.0
wind-ons_7,CA_N,2029,498.0
wind-ons_7,CA_N,2032,498.0
wind-ons_7,CA_S,2026,17.598
wind-ons_7,CA_S,2029,432.0
wind-ons_7,CA_S,2032,432.0
wind-ons_7,CA_SE,2029,514.052333
wind-ons_7,CA_SE,2032,1476.0
wind-ons_7,OR_E,2010,536.8
wind-ons_7,OR_E,2015,1291.0
wind-ons_7,OR_E,2020,1501.0
wind-ons_7,OR_E,2023,1509.0
wind-ons_7,OR_E,2026,1509.0
wind-ons_7,OR_E,2029,1509.0
wind-ons_7,OR_E,2032,1386.2
wind-ons_7,OR_W,2029,588.0
wind-ons_7,OR_W,2032,588.0
wind-ons_7,WA_E,2010,779.5
wind-ons_7,WA_E,2015,1300.4
wind-ons_7,WA_E,2020,1300.4
wind-ons_7,WA_E,2023,1300.4
wind-ons_7,WA_E,2026,1300.4
wind-ons_7,WA_E,2029,2816.2
wind-ons_7,WA_E,2032,2816.2
wind-ons_7,WA_W,2026,429.062123
wind-ons_7,WA_W,2029,429.062123
wind-ons_7,WA_W,2032,1050.0
wind-ons_8,CA_N,2010,18.0
wind-ons_8,CA_N,2015,183.6
wind-ons_8,CA_N,2020,229.6
wind-ons_8,CA_N,2023,285.8
wind-ons_8,CA_N,2026,628.177
wind-ons_8,CA_N,2029,810.0
wind-ons_8,CA_N,2032,810.0
wind-ons_8,CA_S,2015,329.0
wind-ons_8,CA_S,2020,329.0
wind-ons_8,CA_S,2023,329.0
wind-ons_8,CA_S,2026,329.001
wind-ons_8,CA_S,2029,329.001
wind-ons_8,CA_S,2032,329.001
wind-ons_8,CA_SE,2029,762.0
wind-ons_8,CA_SE,2032,762.0
wind-ons_8,OR_E,2010,960.5
wind-ons_8,OR_E,2015,960.5
wind-ons_8,OR_E,2020,960.5
wind-ons_8,OR_E,2023,1161.8
wind-ons_8,OR_E,2026,1161.8
wind-ons_8,OR_E,2029,1161.8
wind-ons_8,OR_E,2032,1161.8
wind-ons_8,OR_W,2029,582.0
wind-ons_8,OR_W,2032,582.0
wind-ons_8,WA_E,2010,549.5
wind-ons_8,WA_E,2015,553.8
wind-ons_8,WA_E,2020,553.8
wind-ons_8,WA_E,2023,553.8
wind-ons_8,WA_E,2026,611.5
wind-ons_8,WA_E,2029,3852.0
wind-ons_8,WA_E,2032,3852.0
wind-ons_8,WA_W,2026,240.0
wind-ons_8,WA_W,2029,240.0
wind-ons_8,WA_W,2032,240.0
wind-ons_9,CA_LA,2029,66.0
wind-ons_9,CA_LA,2032,66.0
wind-ons_9,CA_N,2010,614.4
wind-ons_9,CA_N,2015,1025.6
wind-ons_9,CA_N,2020,1025.6
wind-ons_9,CA_N,2023,1012.5
wind-ons_9,CA_N,2026,1171.6
wind-ons_9,CA_N,2029,1171.6
wind-ons_9,CA_N,2032,1171.6
wind-ons_9,CA_S,2010,96.4
wind-ons_9,CA_S,2015,618.4
wind-ons_9,CA_S,2020,560.9
wind-ons_9,CA_S,2023,720.7
wind-ons_9,CA_S,2026,720.7
wind-ons_9,CA_S,2029,778.202
wind-ons_9,CA_S,2032,778.202
wind-ons_9,CA_SE,2010,41.0
wind-ons_9,CA_SE,2015,311.6
wind-ons_9,CA_SE,2020,313.5
wind-ons_9,CA_SE,2023,313.5
wind-ons_9,CA_SE,2026,498.489
wind-ons_9,CA_SE,2029,516.0
wind-ons_9,CA_SE,2032,516.0
wind-ons_9,OR_E,2010,422.2
wind-ons_9,OR_E,2015,422.2
wind-ons_9,OR_E,2020,422.2
wind-ons_9,OR_E,2023,422.2
wind-ons_9,OR_E,2026,422.2
wind-ons_9,OR_E,2029,1131.5
wind-ons_9,OR_E,2032,1131.5
wind-ons_9,WA_E,2010,234.0
wind-ons_9,WA_E,2015,234.0
wind-ons_9,WA_E,2020,234.0
wind-ons_9,WA_E,2023,234.0
wind-ons_9,WA_E,2026,234.0
wind-ons_9,WA_E,2029,738.0
wind-ons_9,WA_E,2032,738.0
wind-ons_10,CA_LA,2020,1.9
wind-ons_10,CA_LA,2023,1.9
wind-ons_10,CA_LA,2026,1.9
wind-ons_10,CA_LA,2029,186.0
wind-ons_10,CA_LA,2032,186.0
wind-ons_10,CA_N,2026,84.0
wind-ons_10,CA_N,2029,84.0
wind-ons_10,CA_N,2032,84.0
wind-ons_10,CA_S,2010,695.2
wind-ons_10,CA_S,2015,2305.7
wind-ons_10,CA_S,2020,2556.2
wind-ons_10,CA_S,2023,2677.3
wind-ons_10,CA_S,2026,2769.701
wind-ons_10,CA_S,2029,2769.701
wind-ons_10,CA_S,2032,2769.701
wind-ons_10,CA_SE,2010,476.5
wind-ons_10,CA_SE,2015,581.0
wind-ons_10,CA_SE,2020,490.0
wind-ons_10,CA_SE,2023,568.9
wind-ons_10,CA_SE,2026,816.901
wind-ons_10,CA_SE,2029,816.901
wind-ons_10,CA_SE,2032,816.901
wind-ons_10,OR_E,2029,180.0
wind-ons_10,OR_E,2032,180.0
wind-ons_10,OR_W,2029,732.666667
wind-ons_10,OR_W,2032,732.666667
wind-ons_10,WA_E,2026,246.0
wind-ons_10,WA_E,2029,246.0
wind-ons_10,WA_E,2032,246.0
wind-ons_10,WA_W,2032,204.0
geohydro_allkm_1,CA_N,2010,948.2
geohydro_allkm_1,CA_N,2015,948.2
geohydro_allkm_1,CA_N,2020,948.2
geohydro_allkm_1,CA_N,2023,948.2
geohydro_allkm_1,CA_N,2026,948.2
geohydro_allkm_1,CA_N,2029,948.2
geohydro_allkm_1,CA_N,2032,948.2
geohydro_allkm_1,CA_S,2010,255.7
geohydro_allkm_1,CA_S,2015,255.7
geohydro_allkm_1,CA_S,2020,255.7
geohydro_allkm_1,CA_S,2023,255.7
geohydro_allkm_1,CA_S,2026,255.7
geohydro_allkm_1,CA_S,2029,255.7
geohydro_allkm_1,CA_S,2032,255.7
geohydro_allkm_1,CA_SE,2010,581.9
geohydro_allkm_1,CA_SE,2015,581.9
geohydro_allkm_1,CA_SE,2020,581.9
geohydro_allkm_1,CA_SE,2023,581.9
geohydro_allkm_1,CA_SE,2026,581.9
geohydro_allkm_1,CA_SE,2029,581.9
geohydro_allkm_1,CA_SE,2032,581.9
geohydro_allkm_2,CA_LA,2032,190.171
geohydro_allkm_2,CA_S,2032,742.109
geohydro_allkm_2,CA_SE,2029,596.0
geohydro_allkm_2,CA_SE,2032,897.692
geohydro_allkm_3,CA_LA,2032,140.167601
geohydro_allkm_3,CA_N,2029,51.058333
geohydro_allkm_3,CA_N,2032,208.31034
geohydro_allkm_3,CA_S,2032,504.315383
geohydro_allkm_3,CA_SE,2032,661.654566
geohydro_allkm_4,OR_E,2029,0.6
geohydro_allkm_4,OR_E,2032,236.159
geohydro_allkm_4,OR_W,2032,142.766
geohydro_allkm_5,CA_LA,2032,12.092
geohydro_allkm_5,CA_S,2032,47.184
geohydro_allkm_5,CA_SE,2032,57.076
geohydro_allkm_6,CA_LA,2032,3.587
geohydro_allkm_6,CA_S,2032,13.995
geohydro_allkm_6,CA_SE,2032,16.929
geohydro_allkm_7,CA_LA,2032,6.263
geohydro_allkm_7,CA_S,2032,24.438
geohydro_allkm_7,CA_SE,2020,23.2
geohydro_allkm_7,CA_SE,2023,99.3
geohydro_allkm_7,CA_SE,2026,99.3
geohydro_allkm_7,CA_SE,2029,99.3
geohydro_allkm_7,CA_SE,2032,99.3
geohydro_allkm_7,OR_E,2015,19.5
geohydro_allkm_7,OR_E,2020,19.5
geohydro_allkm_7,OR_E,2023,19.5
geohydro_allkm_7,OR_E,2026,19.5
geohydro_allkm_7,OR_E,2029,19.5
geohydro_allkm_7,OR_E,2032,19.5
geohydro_allkm_8,CA_S,2023,29.6
geohydro_allkm_8,CA_S,2026,29.6
geohydro_allkm_8,CA_S,2029,29.6
geohydro_allkm_8,CA_S,2032,29.6
geohydro_allkm_8,CA_SE,2015,49.9
geohydro_allkm_8,CA_SE,2020,49.9
geohydro_allkm_8,CA_SE,2023,49.9
geohydro_allkm_8,CA_SE,2026,49.9
geohydro_allkm_8,CA_SE,2029,49.9
geohydro_allkm_8,CA_SE,2032,49.9
egs_nearfield_1,CA_N,2032,128.288
egs_nearfield_1,CA_S,2032,48.877
egs_nearfield_2,CA_N,2032,133.819
egs_nearfield_2,CA_S,2032,50.984
egs_nearfield_3,CA_N,2032,32.586
egs_nearfield_3,CA_S,2032,12.415
csp-ns,CA_SE,2010,260.0
csp-ns,CA_SE,2015,1177.8
csp-ns,CA_SE,2020,1177.8
csp-ns,CA_SE,2023,917.8
csp-ns,CA_SE,2026,917.8
csp-ns,CA_SE,2029,917.8
csp-ns,CA_SE,2032,917.8
Gas-CC_Gas-CC-CCS_mod,WA_W,2029,1539.043029
Gas-CC_Gas-CC-CCS_mod,WA_W,2032,1539.043029
